吊白块
腐竹
粉丝
竹笋
甲醛次硫酸氢钠
苏丹红
辣椒粉
辣椒酱
辣味调味品
王金黄
块黄
蛋白精
三聚氰胺
硼酸
硼砂
腐竹
肉丸
凉粉
凉皮
面条
饺子皮
硫氰酸钠
乳
乳制品
玫瑰红
调味品
美术绿
茶叶
碱性嫩黄
豆制品
甲醛
海参
鱿鱼干
水产品
血豆腐
火碱
生鲜乳
一氧化碳
金枪鱼
三文鱼
硫化钠
味精
工业硫磺
白砂糖
辣椒
蜜饯
银耳
龙眼
胡萝卜
姜
工业染料
小米
玉米粉
熟肉制品
罂粟壳
火锅底料
小吃类
革皮水解物
乳制品
动物水解蛋白
羟脯氨酸
生鲜乳
纯牛奶
奶粉
溴酸钾小麦粉
溴酸盐
β-内酰胺酶
金玉兰酶制剂
富马酸二甲酯
废弃食用油脂
食用油脂
工业用矿物油
陈化大米
工业明胶
冰淇淋
肉皮冻
工业酒精
勾兑假酒
敌敌畏
火腿
鱼干
咸鱼
有机磷农药
毛发水酱油
工业用乙酸
勾兑食醋
盐酸克伦特罗
莱克多巴胺
硝基呋喃
猪肉
禽肉
玉米赤霉醇
牛羊肉
肝脏
牛奶
β-玉米赤霉醇
α-玉米赤霉烯醇
β-玉米赤霉烯醇
玉米赤霉酮
赤霉烯酮
抗生素残渣
万古霉素
镇静剂
乙酰丙嗪
氯丙嗪
氟哌啶醇
丙酰二甲氨基丙吩噻嗪
甲苯噻嗪
阿扎哌垄阿扎哌醇
咔唑心安
荧光增白物质
双孢蘑菇
金针菇
白灵菇
工业氯化镁
磷化铝
木耳
漂白剂
焙烤食品
馅料原料
二氧化硫脲
酸性橙Ⅱ
黄鱼
鲍汁
腌卤肉制品
红壳瓜子
辣椒面
豆瓣酱
酸性橙
色素
氯霉素
肉制品
猪肠衣
蜂蜜
氯霉素
喹诺酮类
喹诺酮
水玻璃
面制品
孔雀石绿
鱼类
孔雀石绿
结晶紫
乌洛托品
腐竹
米线
六亚甲基四胺
五氯酚钠
河蟹
五氯苯酚
钠盐
喹乙醇
水产养殖饲料
喹乙醇代谢物
碱性黄
大黄鱼
磺胺二甲嘧啶
叉烧肉类
磺胺
敌百虫
腌制食品
食品中有机磷农药
渍菜
泡菜
葡萄酒着色剂
胭脂红
柠檬黄
诱惑红
日落黄
合成着色剂
诱惑红
水果冻
蛋白冻类
着色剂
防腐剂
酸度调节剂
己二酸
腌菜
着色剂
防腐剂
甜味剂
糖精钠
甜蜜素
面点
月饼
乳化剂
蔗糖脂肪酸酯
乙酰化单甘脂肪酸酯
防腐剂
着色剂
甜味剂
面条
饺子皮
面粉处理剂
糕点
膨松剂
硫酸铝钾
硫酸铝铵
水分保持剂
磷酸盐
磷酸钙
焦磷酸二氢二钠
增稠剂
黄原胶
黄蜀葵胶
甜味剂
糖精钠
甜蜜素
铝
馒头
漂白剂
硫磺
油条
膨松剂
硫酸铝钾
硫酸铝铵
